1142.00,ctx-lh-Pole_occipital
1143.00,ctx-lh-Pole_temporal
1144.00,ctx-lh-S_calcarine
1145.00,ctx-lh-S_central
1146.00,ctx-lh-S_central_insula
1147.00,ctx-lh-S_cingulate-Main_part_and_Intracingulate
1148.00,ctx-lh-S_cingulate-Marginalis_part
1149.00,ctx-lh-S_circular_insula_anterior
1150.00,ctx-lh-S_circular_insula_inferior
1151.00,ctx-lh-S_circular_insula_superior
1152.00,ctx-lh-S_collateral_transverse_ant
1153.00,ctx-lh-S_collateral_transverse_post
1154.00,ctx-lh-S_frontal_inferior
1155.00,ctx-lh-S_frontal_middle
1156.00,ctx-lh-S_frontal_superior
1157.00,ctx-lh-S_frontomarginal
1158.00,ctx-lh-S_intermedius_primus-Jensen
1159.00,ctx-lh-S_intraparietal-and_Parietal_transverse
1160.00,ctx-lh-S_occipital_anterior
1161.00,ctx-lh-S_occipital_middle_and_Lunatus
1162.00,ctx-lh-S_occipital_superior_and_transversalis
1163.00,ctx-lh-S_occipito-temporal_lateral
1164.00,ctx-lh-S_occipito-temporal_medial_and_S_Lingual
1165.00,ctx-lh-S_orbital-H_shapped
1166.00,ctx-lh-S_orbital_lateral
1167.00,ctx-lh-S_orbital_medial-Or_olfactory
1168.00,ctx-lh-S_paracentral
1169.00,ctx-lh-S_parieto_occipital
1170.00,ctx-lh-S_pericallosal
1171.00,ctx-lh-S_postcentral
1172.00,ctx-lh-S_precentral-Inferior-part
1173.00,ctx-lh-S_precentral-Superior-part
1174.00,ctx-lh-S_subcentral_ant
1175.00,ctx-lh-S_subcentral_post
1176.00,ctx-lh-S_suborbital
1177.00,ctx-lh-S_subparietal
1178.00,ctx-lh-S_supracingulate
1179.00,ctx-lh-S_temporal_inferior
1180.00,ctx-lh-S_temporal_superior
1181.00,ctx-lh-S_temporal_transverse
2100.00,ctx-rh-Unknown
2101.00,ctx-rh-Corpus_callosum
2102.00,ctx-rh-G_and_S_Insula_ONLY_AVERAGE
2103.00,ctx-rh-G_cingulate-Isthmus
2104.00,ctx-rh-G_cingulate-Main_part
2105.00,ctx-rh-G_cuneus
2106.00,ctx-rh-G_frontal_inf-Opercular_part
2107.00,ctx-rh-G_frontal_inf-Orbital_part
