D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
0.219993777,-0.051551583,-0.26901935,0.275948626,0.54270613,1.067137244,0.76762138,0.394851466,0.281318611,0.057005927,0.340896073,0.636867223,-0.120827174,0.074813759,0.780772483,0.409353202,0.278270293,1.055532566,0.809005586
0.197464926,-0.095069004,-0.261327899,0.187086173,0.55468461,0.872853128,0.906106518,0.426978164,0.401834137,0.063109251,0.239998693,0.562215747,-0.092982328,0.436379142,0.68443783,0.488507822,0.777006953,0.601295283,0.855328543
-0.1585439,-0.169387298,-0.400314122,0.061764862,0.1099175,0.247350574,0.541762168,0.306049689,0.224931364,-0.012723192,-0.220807947,0.467340557,-0.274280716,0.36249564,0.3076302,0.374460671,-0.209580011,0.00687127,-0.246935204
0.202358136,0.347530413,-0.007110465,0.268998355,0.95525079,0.244756337,1.154111378,0.898801842,0.422502079,0.606726626,-0.374206512,0.673958263,0.041486389,0.642572316,0.793703762,0.53152393,0.162799616,0.815063022,0.437011711
0.002079336,0.040312555,-0.259047196,0.100346113,0.466751708,0.564611508,0.962492346,0.694623064,-0.118800648,0.13407717,-0.18122491,0.592289157,-0.132690316,0.176699,0.795550506,0.490344409,-0.002940883,0.789843638,0.515713425
-0.01838291,-0.223166274,-0.909437317,-0.782582622,0.493256632,0.559992431,1.359782241,0.793630944,-0.998544183,0.313180441,-0.12888104,0.542304916,-0.182681042,-0.894178538,0.529373777,0.42817978,0.196189601,0.650738144,0.088548014
0.495915667,0.704306674,0.173800997,-0.735439776,1.514120082,-0.508151143,0.897056837,1.038360092,0.13987513,1.325802614,-0.786365641,0.648843266,-0.073945023,0.723746177,0.410271694,0.269891542,-0.094303974,1.241242718,1.016743978
0.652876853,0.013195126,0.393379064,0.959667436,0.864190916,0.836120749,1.080903626,0.522480077,0.792677147,0.73989991,-0.089297648,0.731046121,0.545925343,1.353701764,1.04420558,0.869754929,0.513233876,-0.152366138,-0.268006948
1.004474617,0.79429755,0.894044786,0.289211223,1.541626291,0.420567549,0.804000125,0.719105354,0.853930396,1.048036655,-0.140919872,0.670797845,0.731613505,1.039792782,0.844074668,0.375693377,0.98967261,0.996618339,1.11381938
0.846458428,0.128822491,0.28143195,0.517400923,0.854168856,0.678955363,0.770135001,0.567802837,0.430521169,0.074838818,0.057116937,0.453097185,-0.002805807,0.8247223,0.87132004,0.399644518,-0.351824224,-0.120317118,0.447314254
0.756964508,0.093822821,0.35384391,0.739304484,0.622183991,0.861307981,0.650030813,0.418056126,0.673438919,0.423676141,0.242478199,0.597790099,0.396310634,0.587493369,1.090656808,0.269955452,1.604485747,1.220050059,1.351797928
0.119278241,-0.217863536,-0.160334307,0.092718357,0.382773802,0.937857862,0.929487252,0.388068098,0.392478971,-0.056199205,0.449206544,0.468676342,-0.211338899,0.296855827,0.563094069,0.392828369,0.320079009,0.218215665,0.621066156
0.464345534,-0.233467868,-0.049325552,0.402355042,0.17961403,0.895301206,0.993171833,0.393206179,0.834333017,0.539924211,-0.294792711,0.859272868,-0.216827975,0.789347545,0.738279005,1.033958663,0.032402348,-0.342039739,-1.061366751
